,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
35,MzuzwanaYamkela,2023-03-01 20:33:36+00:00,4,Twitter for Android,Tsatsi realy watch BBNaija yhoo 🤣🤣🤣🤣 #BBTitans,0,1,590.0
36,Sis_chunli,2023-03-01 20:33:11+00:00,2,Twitter for Android,"Yhoo imagine being called out by Peter, talk about embarrazzziing. But don't worry Peter no one believed Mia lie expect Robyn because she is a loser #RHOP #RHOPotomac",0,0,128.0
37,Thando17057302,2023-03-01 20:30:56+00:00,0,Twitter for Android,"@fitbuddy_africa Ikhulile iboi yhoo,  love ur son bro that is a good thing baffo🙏",0,0,20.0
38,CelebrityPantsu,2023-03-01 20:30:34+00:00,1,Twitter for Android,@JeanyMotlokoa Yhoo isibindi 🤣🤣,0,0,9.0
39,MissSikhosana,2023-03-01 20:29:55+00:00,0,Twitter for Android,@Nkulee04 This is sad yhoo 💔💔,0,0,17.0
40,tseepati,2023-03-01 20:26:12+00:00,0,Twitter for iPhone,Bishop is lying that’s not what was said yhoo this guy should just go get his lawyer #Reatsotellawednesday,0,2,538.0
41,TManthola,2023-03-01 20:23:02+00:00,0,Twitter Web App,@sowazis @Theholisticpsyc Yhoo this is painful 💔,0,0,425.0
42,lam_Lloyiso,2023-03-01 20:18:54+00:00,0,Twitter for Android,@siyungu Yhoo uyacikoza lomfo.... https://t.co/EJB1JR2KZA,0,1,73.0
43,entileh_r,2023-03-01 20:14:48+00:00,0,Twitter for Android,"@MahlodiRasebot1 Yhoo I wondered which Mahlodi will pitch , the moruti side said suprise 😩😹😹",0,1,24.0
44,Imaculate2,2023-03-01 20:07:55+00:00,1,Twitter for iPhone,@LomaSwatiDlami1 Ngeke phela angvumi yhoo😭😂💀,0,1,10.0
45,MzuzwanaYamkela,2023-03-01 20:06:59+00:00,0,Twitter for Android,@BBNaijahooked Yhoo,0,0,25.0
46,Lonwabo19174111,2023-03-01 20:05:27+00:00,1,Twitter Web App,"@chester_ta Mnandi mnganam, ndithi wayeka udlala uthitha. Yhoo kade ngakugcina.",0,1,4.0
47,Kgopots48549028,2023-03-01 20:02:22+00:00,13,Twitter for Android,@MDNnewss Zamani and nomzamo are related?? yhoo,0,5,28274.0
48,nyisist_,2023-03-01 20:01:38+00:00,0,Twitter for iPhone,@7leeSummer Kunini ngithi yhoo,0,1,21.0
49,BalisoMlamli,2023-03-01 19:59:48+00:00,1,Twitter for iPhone,"@uBuhlaluse Yhoo Minenhle yangaske ndizifihle, ngathi yenzeka kum 🙈🤣🤣",0,1,27.0
50,Yamkela99556761,2023-03-01 19:57:27+00:00,2,Twitter for Android,@rejoicetanya Yhoo am crying 😥😥😥 am tired,0,1,370.0
51,_LuluthoQina,2023-03-01 19:54:12+00:00,0,Twitter for iPhone,Yhoo ndagqibela nini ubanjwa iimpundu kamnandi.😔😒,0,0,104.0
52,BalisoMlamli,2023-03-01 19:54:09+00:00,0,Twitter for iPhone,@Jenniemqoqi Abantu bayahlazana apha yhoo 🙆🏽‍♂️,0,1,18.0
53,BalisoMlamli,2023-03-01 19:52:58+00:00,75,Twitter for iPhone,"Yhooo abantu bayahlazana ku Twitter yhoo 🙆🏽‍♂️ in my humble opinion before you try and shame a person publicly be sure that wena you are clean, be sure that they have nothing to use against you, some people don’t have a bigger man approach to things, they will hlaza you back 🤣🤣",6,8,4391.0
54,Leigh_Mawong0,2023-03-01 19:52:41+00:00,1,Twitter for iPhone,Yhoo hay shame nooo,1,1,177.0
55,MishaBrown_,2023-03-01 19:51:53+00:00,0,Twitter for iPhone,@Givenkazeni 2 hours isn’t enough yhoo,0,0,117.0
