Date,ID,username,tweet
2023-02-07 22:08:18+00:00,1623081243721056257,topstonks,"$GOOG one of the most mentioned on wallstreetbets over the last 7 daysVia https://t.co/6D4if9Fc1C#goog    #wallstreetbets  #daytrading https://t.co/2WPrHyrlrJ"
2023-02-07 21:37:56+00:00,1623073601464291335,InvestwithHarvy,"@PythiaR Fyi their trucks are autonomous truck, no driver anymore. All of this becaue of BART #GOOG"
2023-02-07 19:37:37+00:00,1623043322964234240,ProfessorTradez,Sitting pretty on some #googl calls. AI hype should take them to 6.00 easy by April. #goog #Google #stocks #StockMarket #AI https://t.co/6sBKx2OUGa
2023-02-07 19:00:48+00:00,1623034055980683269,CedricElie,"Alphabet/#Google owns the internet, I don't see #ChatGPT standing tall infront of #Bard

#GOOG stocks went +20% since Bard was announced #JustSaying"
2023-02-07 18:36:18+00:00,1623027890936811522,CharlieUK98,Creating posts for Linkedin with GPT powered Bing/Edge #MSFT #GOOG $MSFT $GOOG https://t.co/yNVA5077NM
2023-02-07 18:23:48+00:00,1623024744969736200,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/0r3DV4PUiT
2023-02-07 17:53:47+00:00,1623017193091878917,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/L9Y4fbCAx0
2023-02-07 17:50:46+00:00,1623016433776005138,MC_OptionTrades,$GOOG - Why Selling This Iron Condor in GOOG Makes Sense for a $1.15 Credit  #GOOG https://t.co/HX0DwtVa8E https://t.co/EQvspo7DAh
2023-02-07 17:03:10+00:00,1623004453157601281,pvitale,@GerberKawasaki The rise of #ChatGPT and the threat to #Googlesearch has made #Microsoft look #Spritely today! The tech industry is in for a big shakeup! #MSFT #GOOG
2023-02-07 16:52:45+00:00,1623001831801749506,EpsMomentum,$GOOG with a Bullish outlook following its earnings #Stocks  - #GOOG chart on @TradingView https://t.co/NTTBmscgHB
2023-02-07 15:00:42+00:00,1622973632741011457,MC_OptionTrades,$GOOG - 3 Reasons Why this GOOG Bull Call Spread Could be a Good Trade at $1.66  #GOOG https://t.co/QGYgwnn5US https://t.co/0cAOlonGYu
2023-02-07 14:22:59+00:00,1622964143081852928,Jaketh_bull,"What is $GOOG on...?
#GOOG $SPY #SPY #StockMarket https://t.co/YanNJ3mU3e"
2023-02-07 13:42:54+00:00,1622954055239897088,iweinstein,"Google unveils its ChatGPT rival    
[ URL: https://t.co/asEFSVR8Kh ]  #AI #Bard #ChatGPT #Goog #Google https://t.co/tU4mG9kEEE"
2023-02-07 13:37:18+00:00,1622952645978898433,topstonks,"$GOOG seeing an uptick in chatter on wallstreetbets over the last 24 hoursVia https://t.co/6D4if9FJRa#goog    #wallstreetbets  #stock https://t.co/HyGIpmJj73"
2023-02-07 13:18:04+00:00,1622947806607540224,proactive_NA,$GOOG Google unveils Bard as its ChatGPT killer https://t.co/z1iu7Zp8Ih #GOOG
2023-02-07 13:15:06+00:00,1622947058754748418,Elisa_crypto,"https://t.co/LcVCQKD2gr #AMZN #APPL #GOOG #TSLA #MSFT #NFLX #META #COST #AMD #NVDA #PTON

tl:dr Erring towards a correction on indices but possibly not quite ready yet (basically the same as indices charts). 

All of these we expected the bounce having hit htf demand and now th…"
2023-02-07 12:20:09+00:00,1622933229278998532,godbot_pro,AI forecast: Google goes UP to $129 - #GOOG chart on @TradingView https://t.co/hgvNsCnt7N
2023-02-07 11:53:46+00:00,1622926592988135426,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/Ztu8sDgYlY
2023-02-07 11:23:46+00:00,1622919043295453187,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/sWSTlVSeby
2023-02-07 11:06:50+00:00,1622914778560602113,topstonks,"$GOOG was the 12th most mentioned on wallstreetbets over the last 7 daysVia https://t.co/6D4if9Fc1C#goog    #wallstreetbets  #daytrading https://t.co/ShodZeGdfb"
2023-02-07 05:46:43+00:00,1622834217930604544,michaelsgordon,The Stock Market is Going to Crash | Avoid Buying Stocks in this Market https://t.co/NvV9RtoMrt via @YouTube #qqq #spy #aapl #goog
2023-02-07 04:53:47+00:00,1622820897651568640,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/DWqvgO6A8s
2023-02-07 04:23:47+00:00,1622813347514294273,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/yxr1S2dtuy
2023-02-07 01:36:24+00:00,1622771224861622279,7amahanti,"Amid lockdowns, #YouTube's ad revenue saw rapid growth. However, deceleration set in during Q3 '21 &amp; negative growth in Q3 '22. Two consecutive quarters of decline now. Lots of factors at work: short-form videos, Apple's ATT, macro, &amp; ad load limitations. $GOOG #GOOG https://t.co/03TnBgvbPU"
