Date,ID,username,tweet
2023-02-06 23:04:25+00:00,1622732979134140416,toyokotoshi,"HEAT MAP-US major Index / Stocks (2023.02.06) 

https://t.co/wkb8iQUw1j 

#米国株 #ヒートマップ #株式投資 #米国株投資 #米国株ヒートマップ #アメリカ株  #VTI #VOO #QQQ #VT #GOOGL #APPL #高配当 #ETF #投資初心者 #投資家と繋がりたい  #投資家さんとつながりたい #投資初心者と繋がりたい https://t.co/m4g37Dz0mg"
2023-02-06 15:57:11+00:00,1622625462751985666,julian22fvprt,"There's a nursery rhyme in which green bottles fall off a wall, until one is left. In US stocks, that one bottle is #APPL. Vs its peers the current divergence is 2.8SD, which only occurs 0.26% of the time. Which way does it break? If Apple breaks $138, we could find out quickly. https://t.co/cCsZoQsTAd"
2023-02-06 02:07:26+00:00,1622416648878579714,bosshogzz,Hit new drop!! #TSLA #ChineseSpyBalloon #Trending #MrBeast #ConspiracyTheories #FAFO #DonaldTrump @MrBeast #appl $appl $tsla $gme #FYP #PakistanBankrupt https://t.co/gnvshlvlrl
